date,BEUTI,lat
1988-01-15T00:00:00Z,-0.442,45N
1988-02-15T00:00:00Z,3.258,45N
1988-03-15T00:00:00Z,0.762,45N
1988-04-15T00:00:00Z,0.902,45N
1988-05-15T00:00:00Z,0.068,45N
1988-06-15T00:00:00Z,0.297,45N
1988-07-15T00:00:00Z,1.198,45N
1988-08-15T00:00:00Z,1.712,45N
1988-09-15T00:00:00Z,1.252,45N
1988-10-15T00:00:00Z,0.462,45N
1988-11-15T00:00:00Z,-0.401,45N
1988-12-15T00:00:00Z,1.051,45N
1989-01-15T00:00:00Z,0.949,45N
1989-02-15T00:00:00Z,-1.359,45N
1989-03-15T00:00:00Z,-10.264,45N
1989-04-15T00:00:00Z,2.079,45N
1989-05-15T00:00:00Z,1.16,45N
1989-06-15T00:00:00Z,0.739,45N
1989-07-15T00:00:00Z,0.125,45N
1989-08-15T00:00:00Z,0.726,45N
1989-09-15T00:00:00Z,1.485,45N
1989-10-15T00:00:00Z,0.31,45N
1989-11-15T00:00:00Z,0.222,45N
1989-12-15T00:00:00Z,1.228,45N
1990-01-15T00:00:00Z,-4.569,45N
1990-02-15T00:00:00Z,-1.89,45N
1990-03-15T00:00:00Z,1.17,45N
1990-04-15T00:00:00Z,3.576,45N
1990-05-15T00:00:00Z,2.684,45N
1990-06-15T00:00:00Z,0.115,45N
1990-07-15T00:00:00Z,0.828,45N
1990-08-15T00:00:00Z,1.119,45N
1990-09-15T00:00:00Z,0.161,45N
1990-10-15T00:00:00Z,0.015,45N
1990-11-15T00:00:00Z,-0.011,45N
1990-12-15T00:00:00Z,5.267,45N
1991-01-15T00:00:00Z,-0.597,45N
1991-02-15T00:00:00Z,-5.348,45N
1991-03-15T00:00:00Z,0.739,45N
1991-04-15T00:00:00Z,-1.209,45N
1991-05-15T00:00:00Z,3.411,45N
1991-06-15T00:00:00Z,3.638,45N
1991-07-15T00:00:00Z,1.748,45N
1991-08-15T00:00:00Z,0.436,45N
1991-09-15T00:00:00Z,0.237,45N
1991-10-15T00:00:00Z,1.151,45N
1991-11-15T00:00:00Z,-0.773,45N
1991-12-15T00:00:00Z,-1.206,45N
1992-01-15T00:00:00Z,-7.41,45N
1992-02-15T00:00:00Z,-1.782,45N
1992-03-15T00:00:00Z,1.359,45N
1992-04-15T00:00:00Z,0.042,45N
1992-05-15T00:00:00Z,0.342,45N
1992-06-15T00:00:00Z,0.403,45N
1992-07-15T00:00:00Z,0.528,45N
1992-08-15T00:00:00Z,0.507,45N
1992-09-15T00:00:00Z,0.603,45N
1992-10-15T00:00:00Z,0.406,45N
1992-11-15T00:00:00Z,-0.141,45N
1992-12-15T00:00:00Z,-0.54,45N
1993-01-15T00:00:00Z,-0.284,45N
1993-02-15T00:00:00Z,0.319,45N
1993-03-15T00:00:00Z,-3.679,45N
1993-04-15T00:00:00Z,-3.822,45N
1993-05-15T00:00:00Z,-0.029,45N
1993-06-15T00:00:00Z,0.082,45N
1993-07-15T00:00:00Z,0.182,45N
1993-08-15T00:00:00Z,0.309,45N
1993-09-15T00:00:00Z,0.888,45N
1993-10-15T00:00:00Z,0.426,45N
1993-11-15T00:00:00Z,1.123,45N
1993-12-15T00:00:00Z,-7.233,45N
1994-01-15T00:00:00Z,-2.582,45N
1994-02-15T00:00:00Z,-4.906,45N
1994-03-15T00:00:00Z,0.318,45N
1994-04-15T00:00:00Z,1.092,45N
1994-05-15T00:00:00Z,0.73,45N
1994-06-15T00:00:00Z,0.12,45N
1994-07-15T00:00:00Z,1.039,45N
1994-08-15T00:00:00Z,0.068,45N
1994-09-15T00:00:00Z,0.045,45N
1994-10-15T00:00:00Z,0.285,45N
1994-11-15T00:00:00Z,-1.412,45N
1994-12-15T00:00:00Z,-9.285,45N
1995-01-15T00:00:00Z,-7.616,45N
1995-02-15T00:00:00Z,-2.708,45N
1995-03-15T00:00:00Z,-3.258,45N
1995-04-15T00:00:00Z,2.354,45N
1995-05-15T00:00:00Z,1.516,45N
1995-06-15T00:00:00Z,0.753,45N
1995-07-15T00:00:00Z,0.568,45N
1995-08-15T00:00:00Z,0.691,45N
1995-09-15T00:00:00Z,0.072,45N
1995-10-15T00:00:00Z,0.05,45N
1995-11-15T00:00:00Z,-0.968,45N
1995-12-15T00:00:00Z,-1.355,45N
1996-01-15T00:00:00Z,0.274,45N
1996-02-15T00:00:00Z,-2.839,45N
1996-03-15T00:00:00Z,-0.425,45N
1996-04-15T00:00:00Z,-2.793,45N
1996-05-15T00:00:00Z,0.679,45N
1996-06-15T00:00:00Z,0.552,45N
1996-07-15T00:00:00Z,0.922,45N
1996-08-15T00:00:00Z,2.209,45N
1996-09-15T00:00:00Z,0.255,45N
1996-10-15T00:00:00Z,0.194,45N
1996-11-15T00:00:00Z,0.119,45N
1996-12-15T00:00:00Z,-4.601,45N
1997-01-15T00:00:00Z,-1.96,45N
1997-02-15T00:00:00Z,1.86,45N
1997-03-15T00:00:00Z,-4.037,45N
1997-04-15T00:00:00Z,1.749,45N
1997-05-15T00:00:00Z,0.201,45N
1997-06-15T00:00:00Z,0.053,45N
1997-07-15T00:00:00Z,0.282,45N
1997-08-15T00:00:00Z,0.254,45N
1997-09-15T00:00:00Z,0,45N
1997-10-15T00:00:00Z,-0.009,45N
1997-11-15T00:00:00Z,-0.063,45N
1997-12-15T00:00:00Z,-0.036,45N
1998-01-15T00:00:00Z,-1.806,45N
1998-02-15T00:00:00Z,-2.445,45N
1998-03-15T00:00:00Z,0.206,45N
1998-04-15T00:00:00Z,0.972,45N
1998-05-15T00:00:00Z,0.933,45N
1998-06-15T00:00:00Z,0.73,45N
1998-07-15T00:00:00Z,0.317,45N
1998-08-15T00:00:00Z,0.989,45N
1998-09-15T00:00:00Z,0.611,45N
1998-10-15T00:00:00Z,0.027,45N
1998-11-15T00:00:00Z,-1.347,45N
1998-12-15T00:00:00Z,-1.204,45N
1999-01-15T00:00:00Z,-4.935,45N
1999-02-15T00:00:00Z,-22.082,45N
1999-03-15T00:00:00Z,-7.916,45N
1999-04-15T00:00:00Z,9.036,45N
1999-05-15T00:00:00Z,4.199,45N
1999-06-15T00:00:00Z,1.005,45N
1999-07-15T00:00:00Z,0.617,45N
1999-08-15T00:00:00Z,0.242,45N
1999-09-15T00:00:00Z,1.58,45N
1999-10-15T00:00:00Z,0.488,45N
1999-11-15T00:00:00Z,-2.655,45N
1999-12-15T00:00:00Z,0.301,45N
2000-01-15T00:00:00Z,-3.466,45N
2000-02-15T00:00:00Z,-3.53,45N
2000-03-15T00:00:00Z,1.511,45N
2000-04-15T00:00:00Z,2.633,45N
2000-05-15T00:00:00Z,0.741,45N
2000-06-15T00:00:00Z,0.941,45N
2000-07-15T00:00:00Z,1.196,45N
2000-08-15T00:00:00Z,1.888,45N
2000-09-15T00:00:00Z,0.196,45N
2000-10-15T00:00:00Z,0.009,45N
2000-11-15T00:00:00Z,0.778,45N
2000-12-15T00:00:00Z,-3.765,45N
2001-01-15T00:00:00Z,-6.389,45N
2001-02-15T00:00:00Z,2.365,45N
2001-03-15T00:00:00Z,7.201,45N
2001-04-15T00:00:00Z,1.333,45N
2001-05-15T00:00:00Z,5.048,45N
2001-06-15T00:00:00Z,1.273,45N
2001-07-15T00:00:00Z,2.678,45N
2001-08-15T00:00:00Z,0.21,45N
2001-09-15T00:00:00Z,1.135,45N
2001-10-15T00:00:00Z,0.272,45N
2001-11-15T00:00:00Z,-3.304,45N
2001-12-15T00:00:00Z,-2.247,45N
2002-01-15T00:00:00Z,-2.613,45N
2002-02-15T00:00:00Z,1.159,45N
2002-03-15T00:00:00Z,3.336,45N
2002-04-15T00:00:00Z,9.225,45N
2002-05-15T00:00:00Z,5.094,45N
2002-06-15T00:00:00Z,1.324,45N
2002-07-15T00:00:00Z,2.078,45N
2002-08-15T00:00:00Z,2.656,45N
2002-09-15T00:00:00Z,1.375,45N
2002-10-15T00:00:00Z,2.805,45N
2002-11-15T00:00:00Z,-6.708,45N
2002-12-15T00:00:00Z,-3.578,45N
2003-01-15T00:00:00Z,-2.239,45N
2003-02-15T00:00:00Z,0.661,45N
2003-03-15T00:00:00Z,-3.281,45N
2003-04-15T00:00:00Z,-1.773,45N
2003-05-15T00:00:00Z,1.385,45N
2003-06-15T00:00:00Z,2.148,45N
2003-07-15T00:00:00Z,2.133,45N
2003-08-15T00:00:00Z,0.758,45N
2003-09-15T00:00:00Z,1.34,45N
2003-10-15T00:00:00Z,-0.363,45N
2003-11-15T00:00:00Z,-0.252,45N
2003-12-15T00:00:00Z,-1.452,45N
2004-01-15T00:00:00Z,-2.698,45N
2004-02-15T00:00:00Z,-2.219,45N
2004-03-15T00:00:00Z,2.348,45N
2004-04-15T00:00:00Z,0.962,45N
2004-05-15T00:00:00Z,0.413,45N
2004-06-15T00:00:00Z,0.524,45N
2004-07-15T00:00:00Z,0.803,45N
2004-08-15T00:00:00Z,0.548,45N
2004-09-15T00:00:00Z,0.232,45N
2004-10-15T00:00:00Z,-0.038,45N
2004-11-15T00:00:00Z,2.064,45N
2004-12-15T00:00:00Z,-1.408,45N
2005-01-15T00:00:00Z,-3.96,45N
2005-02-15T00:00:00Z,1.764,45N
2005-03-15T00:00:00Z,-1.503,45N
2005-04-15T00:00:00Z,0.623,45N
2005-05-15T00:00:00Z,-0.182,45N
2005-06-15T00:00:00Z,0.108,45N
2005-07-15T00:00:00Z,1.121,45N
2005-08-15T00:00:00Z,1.52,45N
2005-09-15T00:00:00Z,1.985,45N
2005-10-15T00:00:00Z,-0.356,45N
2005-11-15T00:00:00Z,0.055,45N
2005-12-15T00:00:00Z,-4.977,45N
2006-01-15T00:00:00Z,-1.918,45N
2006-02-15T00:00:00Z,0.474,45N
2006-03-15T00:00:00Z,-6.512,45N
2006-04-15T00:00:00Z,2.45,45N
2006-05-15T00:00:00Z,5.747,45N
2006-06-15T00:00:00Z,1.689,45N
2006-07-15T00:00:00Z,1.528,45N
2006-08-15T00:00:00Z,3.156,45N
2006-09-15T00:00:00Z,0.732,45N
2006-10-15T00:00:00Z,1.135,45N
2006-11-15T00:00:00Z,-2.379,45N
2006-12-15T00:00:00Z,-3.938,45N
2007-01-15T00:00:00Z,1.017,45N
2007-02-15T00:00:00Z,-2.552,45N
2007-03-15T00:00:00Z,0.736,45N
2007-04-15T00:00:00Z,0.717,45N
2007-05-15T00:00:00Z,7.923,45N
2007-06-15T00:00:00Z,0.472,45N
2007-07-15T00:00:00Z,0.372,45N
2007-08-15T00:00:00Z,0.327,45N
2007-09-15T00:00:00Z,0.884,45N
2007-10-15T00:00:00Z,0.262,45N
2007-11-15T00:00:00Z,0.562,45N
2007-12-15T00:00:00Z,-10.553,45N
2008-01-15T00:00:00Z,-5.914,45N
2008-02-15T00:00:00Z,-1.289,45N
2008-03-15T00:00:00Z,0.956,45N
2008-04-15T00:00:00Z,5.266,45N
2008-05-15T00:00:00Z,10.097,45N
2008-06-15T00:00:00Z,4.376,45N
2008-07-15T00:00:00Z,5.031,45N
2008-08-15T00:00:00Z,0.815,45N
2008-09-15T00:00:00Z,2.087,45N
2008-10-15T00:00:00Z,-0.438,45N
2008-11-15T00:00:00Z,-1.025,45N
2008-12-15T00:00:00Z,-0.92,45N
2009-01-15T00:00:00Z,0.529,45N
2009-02-15T00:00:00Z,0.501,45N
2009-03-15T00:00:00Z,1.458,45N
2009-04-15T00:00:00Z,5.814,45N
2009-05-15T00:00:00Z,4.815,45N
2009-06-15T00:00:00Z,2.868,45N
2009-07-15T00:00:00Z,4.598,45N
2009-08-15T00:00:00Z,1.492,45N
2009-09-15T00:00:00Z,-0.021,45N
2009-10-15T00:00:00Z,0.008,45N
2009-11-15T00:00:00Z,-1.8,45N
2009-12-15T00:00:00Z,-4.174,45N
2010-01-15T00:00:00Z,-9.561,45N
2010-02-15T00:00:00Z,-1.632,45N
2010-03-15T00:00:00Z,-1.151,45N
2010-04-15T00:00:00Z,0.72,45N
2010-05-15T00:00:00Z,1.197,45N
2010-06-15T00:00:00Z,0.482,45N
2010-07-15T00:00:00Z,6.774,45N
2010-08-15T00:00:00Z,2.789,45N
2010-09-15T00:00:00Z,-0.018,45N
2010-10-15T00:00:00Z,-0.035,45N
2010-11-15T00:00:00Z,-0.99,45N
2010-12-15T00:00:00Z,-9.392,45N
2011-01-15T00:00:00Z,0.121,45N
2011-02-15T00:00:00Z,1.85,45N
2011-03-15T00:00:00Z,-8.544,45N
2011-04-15T00:00:00Z,3.24,45N
2011-05-15T00:00:00Z,0.8,45N
2011-06-15T00:00:00Z,0.993,45N
2011-07-15T00:00:00Z,2.693,45N
2011-08-15T00:00:00Z,2.12,45N
2011-09-15T00:00:00Z,0.553,45N
2011-10-15T00:00:00Z,0.011,45N
2011-11-15T00:00:00Z,-1.497,45N
2011-12-15T00:00:00Z,3.266,45N
2012-01-15T00:00:00Z,-10.551,45N
2012-02-15T00:00:00Z,0.562,45N
2012-03-15T00:00:00Z,-14.831,45N
2012-04-15T00:00:00Z,-3.867,45N
2012-05-15T00:00:00Z,4.752,45N
2012-06-15T00:00:00Z,0.762,45N
2012-07-15T00:00:00Z,2.482,45N
2012-08-15T00:00:00Z,2.375,45N
2012-09-15T00:00:00Z,2.184,45N
2012-10-15T00:00:00Z,0.124,45N
2012-11-15T00:00:00Z,-1.172,45N
2012-12-15T00:00:00Z,-1.014,45N
2013-01-15T00:00:00Z,-0.335,45N
2013-02-15T00:00:00Z,-0.963,45N
2013-03-15T00:00:00Z,-1.249,45N
2013-04-15T00:00:00Z,1.51,45N
2013-05-15T00:00:00Z,1.952,45N
2013-06-15T00:00:00Z,1.265,45N
2013-07-15T00:00:00Z,3.721,45N
2013-08-15T00:00:00Z,1.599,45N
2013-09-15T00:00:00Z,0.287,45N
2013-10-15T00:00:00Z,0.287,45N
2013-11-15T00:00:00Z,-0.212,45N
2013-12-15T00:00:00Z,-0.233,45N
2014-01-15T00:00:00Z,-3.516,45N
2014-02-15T00:00:00Z,-5.451,45N
2014-03-15T00:00:00Z,-3.749,45N
2014-04-15T00:00:00Z,1.109,45N
2014-05-15T00:00:00Z,0.306,45N
2014-06-15T00:00:00Z,1.656,45N
2014-07-15T00:00:00Z,1.181,45N
2014-08-15T00:00:00Z,1.375,45N
2014-09-15T00:00:00Z,0.265,45N
2014-10-15T00:00:00Z,0.013,45N
2014-11-15T00:00:00Z,-0.008,45N
2014-12-15T00:00:00Z,-0.262,45N
2015-01-15T00:00:00Z,-0.297,45N
2015-02-15T00:00:00Z,-0.818,45N
2015-03-15T00:00:00Z,-0.031,45N
2015-04-15T00:00:00Z,0.779,45N
2015-05-15T00:00:00Z,2.608,45N
2015-06-15T00:00:00Z,5.254,45N
2015-07-15T00:00:00Z,1.792,45N
2015-08-15T00:00:00Z,1.775,45N
2015-09-15T00:00:00Z,0.512,45N
2015-10-15T00:00:00Z,-0.166,45N
2015-11-15T00:00:00Z,-0.006,45N
2015-12-15T00:00:00Z,-1.42,45N
2016-01-15T00:00:00Z,-3.128,45N
2016-02-15T00:00:00Z,-1.985,45N
2016-03-15T00:00:00Z,-2.329,45N
2016-04-15T00:00:00Z,0.405,45N
2016-05-15T00:00:00Z,3.664,45N
2016-06-15T00:00:00Z,2.859,45N
2016-07-15T00:00:00Z,2.387,45N
2016-08-15T00:00:00Z,1.611,45N
2016-09-15T00:00:00Z,2.015,45N
2016-10-15T00:00:00Z,-0.337,45N
2016-11-15T00:00:00Z,0,45N
2016-12-15T00:00:00Z,-0.126,45N
2017-01-15T00:00:00Z,-3.904,45N
2017-02-15T00:00:00Z,-1.018,45N
2017-03-15T00:00:00Z,-4.663,45N
2017-04-15T00:00:00Z,-2.735,45N
2017-05-15T00:00:00Z,3.911,45N
2017-06-15T00:00:00Z,3.119,45N
2017-07-15T00:00:00Z,1.975,45N
2017-08-15T00:00:00Z,3.799,45N
2017-09-15T00:00:00Z,1.486,45N
2017-10-15T00:00:00Z,0.583,45N
2017-11-15T00:00:00Z,-1.349,45N
2017-12-15T00:00:00Z,-0.187,45N
2018-01-15T00:00:00Z,-3.014,45N
2018-02-15T00:00:00Z,1.912,45N
2018-03-15T00:00:00Z,-0.974,45N
2018-04-15T00:00:00Z,-1.471,45N
2018-05-15T00:00:00Z,3.672,45N
2018-06-15T00:00:00Z,1.119,45N
2018-07-15T00:00:00Z,3.394,45N
2018-08-15T00:00:00Z,2.248,45N
2018-09-15T00:00:00Z,1.2,45N
2018-10-15T00:00:00Z,0.348,45N
2018-11-15T00:00:00Z,-0.31,45N
2018-12-15T00:00:00Z,-2.896,45N
2019-01-15T00:00:00Z,-1.953,45N
2019-02-15T00:00:00Z,0.564,45N
2019-03-15T00:00:00Z,-0.124,45N
2019-04-15T00:00:00Z,0.378,45N
2019-05-15T00:00:00Z,2.811,45N
2019-06-15T00:00:00Z,5.887,45N
2019-07-15T00:00:00Z,1.81,45N
2019-08-15T00:00:00Z,1.34,45N
2019-09-15T00:00:00Z,0.233,45N
2019-10-15T00:00:00Z,0.289,45N
2019-11-15T00:00:00Z,1.233,45N
2019-12-15T00:00:00Z,-3.52,45N
2020-01-15T00:00:00Z,-9.548,45N
2020-02-15T00:00:00Z,0.719,45N
2020-03-15T00:00:00Z,1.31,45N
2020-04-15T00:00:00Z,3.272,45N
2020-05-15T00:00:00Z,-0.976,45N
2020-06-15T00:00:00Z,3.171,45N
2020-07-15T00:00:00Z,6.159,45N
2020-08-15T00:00:00Z,3.848,45N
2020-09-15T00:00:00Z,-1.958,45N
2020-10-15T00:00:00Z,0.74,45N
2020-11-15T00:00:00Z,-0.81,45N
2020-12-15T00:00:00Z,-2.891,45N
2021-01-15T00:00:00Z,-4.732,45N
2021-02-15T00:00:00Z,-0.721,45N
2021-03-15T00:00:00Z,-1.81,45N
2021-04-15T00:00:00Z,5.576,45N
2021-05-15T00:00:00Z,7.698,45N
2021-06-15T00:00:00Z,2.068,45N
2021-07-15T00:00:00Z,6.991,45N
2021-08-15T00:00:00Z,4.153,45N
2021-09-15T00:00:00Z,1.514,45N
2021-10-15T00:00:00Z,-0.151,45N
2021-11-15T00:00:00Z,-0.25,45N
2021-12-15T00:00:00Z,-0.54,45N
2022-01-15T00:00:00Z,-2.938,45N
2022-02-15T00:00:00Z,0.927,45N
2022-03-15T00:00:00Z,-1.364,45N
2022-04-15T00:00:00Z,-1.56,45N
2022-05-15T00:00:00Z,0.277,45N
2022-06-15T00:00:00Z,1.538,45N
2022-07-15T00:00:00Z,4.773,45N
2022-08-15T00:00:00Z,2.381,45N
2022-09-15T00:00:00Z,1.332,45N
2022-10-15T00:00:00Z,3.386,45N
2022-11-15T00:00:00Z,-0.196,45N
2022-12-15T00:00:00Z,-6.008,45N
2023-01-15T00:00:00Z,-4.794,45N
2023-02-15T00:00:00Z,0.955,45N
2023-03-15T00:00:00Z,-0.94,45N
2023-04-15T00:00:00Z,-3.595,45N
2023-05-15T00:00:00Z,4.705,45N
2023-06-15T00:00:00Z,5.414,45N
2023-07-15T00:00:00Z,3.385,45N
2023-08-15T00:00:00Z,3.7,45N
2023-09-15T00:00:00Z,0.711,45N
2023-10-15T00:00:00Z,0.032,45N
2023-11-15T00:00:00Z,-0.005,45N
2023-12-15T00:00:00Z,-0.973,45N
2024-01-15T00:00:00Z,-2.231,45N
2024-02-15T00:00:00Z,-0.791,45N
2024-03-15T00:00:00Z,-1.758,45N
2024-04-15T00:00:00Z,1.898,45N
2024-05-15T00:00:00Z,2.621,45N
2024-06-15T00:00:00Z,2.432,45N
2024-07-15T00:00:00Z,5.377,45N
2024-08-15T00:00:00Z,1.5,45N
2024-09-15T00:00:00Z,2.057,45N
2024-10-15T00:00:00Z,0.592,45N
2024-11-15T00:00:00Z,-1.377,45N
2024-12-15T00:00:00Z,-6.375,45N
2025-01-15T00:00:00Z,0.105,45N
2025-02-15T00:00:00Z,-7.694,45N
2025-03-15T00:00:00Z,-7.427,45N
